No,이름,종류,원재료,알콜도수,용량,수상내역,맛,향,당도,산도,목넘김,기타,어울리는 음식,키워드,주소
103,만품 산삼가득,"약주,청주",국내산쌀(경기미)/ 국내 산양산삼,13%,350ml,"2012 대한민국우리술품평회 우수상 (약주/청주 부문)

 2014 대한민국우리술품평회 대상 (약주/청주 부문)",깔끔한맛/ 산삼맛,산삼향,,,,,담백한 흰살생선전과 잘 어울린다.,,
104,매실원주,과실주, 매실,15%, 300ml,없음,,매실향/박하향,높은당도,,묵직함/부드러움,담황색,양념된 고기류,,서울시 은평구 증산로7길 28-13
105,매실원주 허니,리큐르 및 기타주류,국내산 황매 80%/ 청매 20%,"13%, 15%, 20%",300ml,"2012 Monde-selection 금상

 2013 Monde-selection 금상

 2013 대한민국우리술품평회 대상 (리큐르 부문)

 2013 SWSC 은상

 2014 SWSC 은상

 2014 IWSC 은상

 2014 Monde-selection 금상",매실맛/ 깔끔한맛,매실향,,,,,수육과 서로 잘 어울린다.,,
106,매실탁테일,리큐르 및 기타주류,국내산 백미/ 매실천연과즙,7%,375ml,2011 대한민국우리술품평회 최우수상 (기타주류 부문),,,,,깔끔함,,연어샐러드와 잘 어울린다.,,경기도 화성시 정남면 서봉로 835
107,매아랑,리큐르 및 기타주류,국내산 매실,10.70%,750ml,2013 대한민국우리술품평회 장려상 (기타주류 부문),깔끔한맛/ 산뜻한맛,매실향,적당한당도,,부드러움,황금빛,"해물파전오징어, 조갯살 등을 넣은 해물파전",,
108,매화마름 호랑이 막걸리,탁주,쌀,7%,375ml,없음,,꽃향/새콤한향/달콤한향,높은당도,적당한산도,부드러움/ 묵직함,,파전,,경기도 화성시 정남면 서봉로 835
109,머루드서,과실주, 국내산 산머루 100%,12%, 300ml,2010 대한민국우리술품평회 대상,떫은맛,과일향,,,,,기름기 많은 구이류,,경기 파주시 적성면 객현리 67-1
110,머루이야기,과실주, 국내산 머루 (전북 무주),12%, 350ml,2013 대한민국우리술품평회 우수상 (과실주 부문),,,높은당도,높은산도,,,양념된 고기류,,
111,메로니아,탁주,쌀/ 물엿/ 합성착향료(메론향)/ 효모/ 국/ 혼합제제/ 아스파탐/ 젖산/ 합성 향료(밀크향)/ 효소처리스테비아/ 멜론농축액,4%,750ml,없음,메론맛,메론향,높은당도,,부드러움,녹색,아직 짝이 없어요!,,경기도 화성시 정남면 서봉로 835
112,면천두견주,"약주,청주",국내산 찹쌀/ 누룩/ 국내산 진달래꽃,18%,360ml / 700ml,중요무형문화재 제86-2호,감칠맛,진달래향,적당한당도,낮은산도,부드러움,담황갈색빛,두부샐러드는 술안주로 좋은 음식이다.,,
113,명인안동소주(22%),증류주,"쌀(국내산), 누룩, 정제수",22%,360ml,없음,깔끔한맛,은은한향/깊은향,,,부드러움,,간고등어 구이,,경북 안동시 풍산읍 산업단지6길 6
114,명인안동소주(35%),증류주,국내산 쌀,35%,360ml,"전통식품명인 제6호 박재서

 2010 대한민국우리술품평회 최우수상 (증류식소주 부문)

 2011 대한민국우리술품평회 최우수상 (증류식소주 부문)

 2012 대한민국우리술품평회 대상 (증류식소주 부문)

 2013 IWSC 은상

 2013 SWSC 금상

 2013 NYWSC 은상

 2014 IWSC 은상

 2014 SWSC 은상

 2014 Monde-selection 금상",깔끔한맛/감칠맛,은은한향,,,부드러움,,"소고기 육회, 생선회, 목살양념단호박찜과 잘 어울린다.",,경북 안동시 풍산읍 산업단지6길 6
115,명인안동소주(45%),증류주,국내산 쌀,45%,400ml / 600ml / 800ml,"전통식품명인 제6호 박재서

 2010 대한민국우리술품평회 최우수상 (증류식소주 부문)

 2011 대한민국우리술품평회 최우수상 (증류식소주 부문)

 2012 대한민국우리술품평회 대상 (증류식소주 부문)

 2013 IWSC 은상

 2013 SWSC 금상

 2013 NYWSC 은상

 2014 IWSC 은상

 2014 SWSC 은상

 2014 Monde-selection 금상",깔끔한맛/감칠맛,은은한향,,,부드러움,,"소고기 육회, 생선회, 목살양념단호박찜과 잘 어울린다.",,경북 안동시 풍산읍 산업단지6길 6
116,명작복분자,과실주, 복분자,13%, 375ml,"2014 대한민국우리술품평회 우수상 (과실주 부문)

2010 대한민국우리술품평회 우수상 (과실주 부문)",,,높은당도,높은산도,,,장어구이,,
117,명품홍주,증류주,"쌀, 지초",38,375ml,없음,,,,,부드러움/ 깔끔함,붉은빛/적은숙취,조개찜 등과 잘 어울린다.,,전남 진도군 군내면 둔전리 98
118,모월 연,"약주,청주",국내산 쌀/ 밀누룩(국산),13%,500ml,없음,상큼한맛/ 깔끔한맛/ 쓴맛,곡물향,낮은당도,낮은산도,깨끗함,,아직 짝이 없어요!,,강원도 원주시 판부면 판부신촌길 84
119,모월 인,증류주,"국내산 쌀, 밀누룩(국산)",41%,500ml,없음,깔끔한맛,깔끔한향/ 쌀향,,,부드러움,,아직 짝이 없어요!,,강원도 원주시 판부면 판부신촌길 84
120,무주구천동머루와인,과실주, 머루,12%, 750ml,없음,,,높은당도,낮은산도,,,고기류,,전북 무주군 안성면 장무로 1375-7
121,무주구천동산머루주,과실주, 머루,16%, 750ml/360ml,없음,,,높은당도,낮은산도,,,고기류,,전북 무주군 안성면 장무로 1375-7
122,문경바람 오크,증류주,사과(문경산),40%,750ml / 375ml,없음,,오크향/ 사과향,,,부드러움,,"아몬드. 초콜릿, 올리브, 견과류, 육포 등을 추천한다",,서울특별시 은평구 증산로7길 28-13
123,문배술,증류주,"국내산 찰수수, 국내산 메조",40%,500ml / 1000ml,"전통식품명인 제7호 이기춘

 중요무형문화재 제86-1호

 1990 남북총리급회담 만찬주

 

 2000 남북정상회담 만찬주

 2007 남북정상회담 만찬주

 2007 대한민국우리술품평회 금상 (증류식소주 부문)

 2011 대한민국우리술품평회 장려상 (증류식소주 부문)",감칠맛/배맛/구수한맛/곡물맛,문배나무향/배향,적당한당도,,부드러움,,"평양식 녹두지짐, 참숭어회와 잘 어울린다.",,경기도 김포시 통진읍 서암리 203-4
124,문배술 헤리티지(40%),증류주,"메조,찰수수,쌀",40%,200ml,없음,맑고청아한맛,과일향/곡향/알코올향,,,부드러움,투명함,활어회,,경기 김포 통진 검암2로15번길 27
125,문배술 헤리티지(25%),증류주,"메조,찰수수,쌀",25%,375ml,없음,맑고청아한맛,과일향/곡향/알코올향,,,부드러움,투명함,복지리,,경기 김포 통진 검암2로15번길 27
126,문희 탁주,탁주,쌀,13%,700ml,없음,진한맛,그윽한향/과일향,적당한당도,낮은산도,묵직함,,아직 짝이 없어요!,,경상북도 문경시 동로면 노은리 192번지
127,미나리 생막걸리,탁주,쌀/  무농약 미나리추출액,6%,750ml,"2013 대한민국우리술품평회 대상 (생막걸리 부문)

 2014 SIWC 동상

 2014 Monde-selection 금상",,,적당한당도,적당한산도,부드러움,적은숙취,"생 미나리 두부무침 등, 미나리를 활용한 안주와 잘 어울린다.",,
128,미담,탁주,쌀,6%,750ml,2010 대한민국우리술품평회 최우수상 (생막걸리 부문),감칠맛/진한맛,,높은당도,,청량감,적은숙취,두부김치와 잘 어울린다.,,
129,미르,증류주,"쌀(국내산 경기미 100%), 누룩, 정제수","25%, 40%, 54%",375ml,없음,낄끔한맛,산뜻한향,낮은당도,,부드러움,,"중화요리, 김치찌개, 삼겹살",,경기도 용인시 처인구 양지면 죽양대로 2298-1
130,미몽,탁주,쌀/  인삼,7%,360ml,없음,,,적당한당도,적당한산도,깔끔함,,아직 짝이 없어요!,,
131,미소 생막걸리,탁주,쌀/ 누룩/ 정제수,7%,750ml,없음,개운한맛,고소한향,적당한당도,적당한산도,청량감,,대게 또는 홍게찜,,경상북도 울진군 근남면 노음2길 4
132,미쓰리(me3) 그린,탁주,쌀/ 유자과즙,3%,350ml,없음,깔끔한맛/과일맛,과일향,높은당도,,부드러움/깔끔함,,아직 짝이 없어요!,,
133,미인약주,"약주,청주",찹쌀/ 누룩/ 정제수,15%,500ml,없음,깔끔한맛,과일향,낮은당도,적당한산도,부드러움/가벼움,황금빛,골뱅이나 홍어 무침 등 약간 산뜻한 맛이 있는 음식과 잘 어울린다.,,경기도 파주시 법원읍 사임당로 763
134,미인탁주,"약주,청주",찹쌀/ 누룩/ 정제수,10%,500ml,없음,깔끔한맛/ 곡물맛,인삼향,적당한당도,낮은산도,부드러움,아이보리색,돼지고기 등의 수육과 잘 어울린다.,,경기도 파주시 법원읍 사임당로 763
135,민들레대포,"약주,청주",쌀/ 누룩/ 민들레,13%,330ml,"2008 SWSC 동상

 2011 대한민국우리술품평회 대상 (약주/청주 부문)",,민들레향,적정한당도,,부드러움,,당면대신 콩나물을 넣은 콩나물잡채가 잘 어울린다.,,
136,밤꽃향기,"약주,청주",국내산 쌀/ 밤/ 누룩/ 정제수,14%,375ml,없음,,밤향/고소한향,,,부드러움,,공주국밥하고 좋은 매칭이다.,,충남 공주시 사곡면 마곡사로 49
137,배꽃 필 무렵,탁주,맵쌀/잣잎추출물,14%,2ml,없음,,발효향,높은당도,높은산도,걸쭉함,떠먹는술,디저트술,,강원도 홍천군 내촌면 물걸리 508-2
138,배꽃담은연,탁주, 쌀 26.1%/ 효모 0.07%/ 젖산 0.05%/ 젱제수 72.31%,10%,720ml,우리술품평회 탁주부문 우수상,깔끔한맛,신선한향,적당한당도,적당한산도,청량감/가벼움,,"식전에 입가심을 하기에 좋고, 한식과 잘 어울리는 막걸리 탁주입니다.",,
139,백년친구 쌀막걸리,탁주,쌀,6%,750ml,2012 대한민국우리술품평회 장려상 (생막걸리 부문),깔끔한맛,,적당한당도,적당한산도,부드러움/깔끔함,,막걸리의 부드러운 목 넘김과 은은한 향을 가지나물이 잘 지켜준다.,,
140,백년친구 풍기홍삼막걸리,탁주,쌀/ 홍삼,6%,750ml / 900ml,2012 대한민국우리술품평회 최우수상 (살균막걸리 부문),쓴맛,홍삼향,,,부드러움/깔끔함,,애호박전과 잘 어울린다.,,
141,백련 맑은술,"약주,청주",백미/ 정제수/ 물엿/ 과당/ 누룩/ 백련잎/ 누룩 등,12%,375ml,없음,고소한맛,백련잎향/ 수박향,적당한당도,적당한산도,부드러움,,어묵요리와 잘 어울린다.,,충남 당진시 신평면 신평로 813
142,백련 생막걸리 snow (스노우),탁주,백미/ 연잎/ 정제수/ 종국/ 효모/ 아스파탐/ 물엿 등,6%,750ml,없음,깔끔한맛/시원한맛,식물향/,높은당도,,깔끔함/가벼움,흰색,숯불바베큐와 잘 어울린다.,,충남 당진시 신평면 신평로 813
143,백세주,"약주,청주",설갱미/ 전통누룩/ 구기자/ 오미자/ 홍삼/ 산수유/ 진피/ 백문동/ 백수오/ 산사/ 건강/ 고수/ 감초/ 수국,13%,375ml,없음,허브맛/ 인삼맛/ 쓴맛,인삼향,높은당도,적당한산도,부드러움,,"생선회, 파전, 육회, 빈대떡, 불고기, 두부전골,도토리묵무침 등과 잘 어울린다.",,강원도 횡성군 둔내면 현천리 120
144,백운복분자주,리큐르 및 기타주류,국내산 쌀/ 국내산 복분자,13%,360ml,"2012 대한민국우리술품평회 우수상 (기타주류 부문)

 2013 대한민국우리술품평회 최우수상 (기타주류 부문)

 2014 SIWC 은상

 2014 Monde-selection 은상

 2014 대한민국우리술품평회 장려상 (기타주류 부문)",깔끔한맛,,적당한당도,,,,"낙지볶음, 해물찜과 잘 어울린다.",,
145,백자주,탁주, 찹쌀/ 멥쌀/ 잣/ 누룩/ 정제수,10%,500ml,없음,고소한맛/깊은맛,견과류향/,적당한당도,적당한산도,부드러움,,"골뱅이, 소라 등 무침류와 잘 어울린다.",,강원도 홍천군 화촌면 야시대로 211-57
146,뱅꼬레 레드와인,과실주, 양조용포도 - 경북영천,12%, 375ml,"아시아와인트로피 은상 수상(뱅꼬레 화이트)

한국와인베스트트로피 금상

은상(뱅꼬레 아이스

 뱅꼬레 로제

 뱅꼬레 화이트)",떫은맛,아로마향,낮은당도,적당한산도,,루비색,양념된 고기류,,경상북도 영천시 금호읍 원기리 414-2
147,뱅꼬레 로제와인,과실주, 양조용포도(경북 영천),11.50%, 375ml,"아시아와인트로피 은상 수상(뱅꼬레 화이트)

한국와인베스트트로피 금상

은상(뱅꼬레 아이스

 뱅꼬레 로제

 뱅꼬레 화이트)",,복숭아향,적당한당도,적당한산도,,분홍빛,샐러드류,,경상북도 영천시 금호읍 원기리 414-2
148,뱅꼬레 아이스와인,과실주, 양조용포도(경북 영천),12%, 375ml,한국와인베스트트로피 금상,,아로마향,높은당도,,,,샐러드류,,경상북도 영천시 금호읍 원기리 414-2
149,별산,탁주,정제수/ 쌀/ 입국/ 효모/ 엿류,7%,800ml,없음,감칠맛/상큼한맛,,적당한당도,높은산도,부드러움,,"과일 플래터, 카나페 스타일의 핑거 푸드와 잘 어울린다.",,경기도 양주시 광적면 부흥로21번길 60 1층
150,병영설성사또,증류주,"국내산 쌀, 국내산 오디, 국내산 복분자",40%,750ml,"2012 대한민국우리술품평회 대상 (일반증류주 부문)

 2013 SWSC 은상

 2013 IWSC 은상

 2013 NYWSC 금상",알싸한맛/깔끔한맛,오디향/복분자향/천연향,,,부드러움,자연의색/적은숙취,"삼겹살구이, 장어구이와 잘 어울린다.",,전라남도 강진군 병영면 성남리140-3
151,보성 강하주,"약주,청주",국내산 찹쌀100%,15%,350ml,시도무형문화재 전라남도 제45호,찹쌀맛/ 개운한맛,찹쌀향,,,청량감,황갈색,매콤하고 달콤한 양념을 발라구운 더덕구이와 잘 어울린다.,,
152,복단지,"약주,청주",쌀/ 복분자/ 누룩(국내산 밀함유),14%,375ml,없음,쓴맛,복분자향/ 곡물향,높은당도,적당한산도,깔끔함,,아직 짝이 없어요!,,"경기도 여주시 대신면 대신1로 120, 나호"
153,복분자아락40,증류주,복분자 증류원액,40%,500ml,없음,원숙한맛,과일향,,,부드러움,,아직 짝이 없어요!,,경기도 포천시 화현면 화현리 512
154,복분자음,과실주, 복분자/ 정제수,12%, 375ml,2014년 대한민국 우리술품평회 과실주 부문 최우수상,복분자맛,복분자향,,,,,생선류/전류,,경기도 포천시 화현면 화현리 512
155,복순도가 손 막걸리,탁주,원재료 :쌀/누룩,7%,935ml,없음,깊은맛,,낮은당도,적당한산도,청량감/부드러움,,생선 조림,,울산광역시 울주군 상북면 향산리 439
156,복순도가 탁주,탁주,멥쌀,10%,935ml,없음,진한맛,진한향/누룩향,낮은당도,높은산도,묵직함,,"치킨,돼지고기와 잘어울린다.",,
157,부안 참뽕막걸리(탄산),탁주,쌀,6%,950ml,없음,쓴맛,곡물향/과일향,적당한당도,낮은산도,청량감/깔끔함/부드러움,,고소한 꼬치구이와 잘 어울린다. 과일을 곁들여도 맛있게 즐길 수 있다.,,
158,부안참뽕막걸리,탁주,쌀 오디과즙/스테비올배당체/스쿠랄로스,6%,950ml,'2013 대한민국 우리술 품평회' 살균막걸리 부문 우수상,,과일향,적당한당도,낮은산도,청량감/깔끔함,보랏빛,"매운 볶음요리, 부침개",,전북 부안군 행안면 부안농공단지길 14-11
159,부안참뽕와인,과실주, 정제수/오디/주정/ 과당,13%, 750ml,없음,,오디향,높은당도,,부드러움,,고기류/치즈류,,전북 부안군 행안면 부안농공단지길 14-11
160,부자,탁주,경기미 100%,10%,375ml,"2013 대한민국우리술품평회 최우수상 (살균막걸리 부문)

 2014 IWSC 동상

 2014 Monde-selection 은상",,,높은당도,낮은산도,부드러움/가벼움,유백색,"양념장순두부, 생선전이 잘 어울린다.",,
161,불로생 우리쌀막걸리,탁주,쌀,6%,750ml,2011 대한민국우리술품평회 최우수상(생막걸리 부문),감칠맛/쓴맛,곡물향,높은당도,적당한산도,가벼움,,"두부김치, 해물전과 잘 어울린다.",,
162,불소곡주,리큐르 및 기타주류,찹쌀/ 국내산 멥쌀,43%,700ml,"전통식품명인 제19호 우희열

 2013 대한민국우리술품평회 최우수상 (리큐르 부문)

 2014 IWSC 동상

 2014 Monde-selection 금상",깊은맛/ 감칠맛,달콤한향,,,,,수육과 서로 잘 어울린다.,,
163,붉은 원숭이,탁주,쌀( 경기미 100%)/ 누룩/ 홍국/ 정제수,11%,375ml,없음,,,높은당도,낮은산도,부드러움/깔끔함,붉은색,바베큐,,경기도 용인시 처인구 양지면 죽양대로 2298-1
164,빙탄복,과실주, 복분자,7%, 370ml,없음,복분자맛,과일향,,,청량감,,아직 짝이 없어요!,,경기도 포천시 화현면 화현리 512
165,사미인주,탁주,유기농 햅쌀/ 벌꿀,8%,750ml,없음,,과일향,적당한당도,낮은산도,,,리코타 치즈 샐러드,,전라남도 장성군 장섭읍 남양촌길 19
166,사시통음주,"약주,청주",쌀/ 누룩/ 밀가루,18%,550ml,없음,감칠맛/ 신맛,,낮은당도,높은산도,부드러움,,"고기, 치킨 등을 비롯해 두루두루 음식과 잘 어울린다.",,강원도 횡성군 둔내면 현천리 120
167,사임주,"약주,청주",국내산 찹쌀/ 국내산 멥쌀,16%,,없음,찹쌀맛,,,,,,아직 짝이 없어요!,,대전광역시 서구 둔산로31번길 77 사리원
168,산내울 오미자주,리큐르 및 기타주류,오미자/ 설탕/ 주정/ 정제수/ 과당,16%,750ml,없음,오미자맛/쓴맛/ 깔끔한맛,오미자향/ ,,,,,"생선 회, 편육 냉채 등과 잘 어울린다.",,경상남도 거창군 거창읍 수남로 2241
169,산막생대덕주,"약주,청주",국내산 찹쌀/ 누룩,13%,750ml,2011 대한민국우리술품평회 우수상 (약주/청주 부문),,,적당한당도,,,,"도토리묵 무침, 두부요리와 잘 어울린다.",,
170,산머루 크라테 스위트,과실주,산머루,11.50%,750ml,2018 우리술품평회 과실주 부분 최우수상,,향신료향,높은당도,높은산도,묵직함,,고기류,,경북 김천시 증산면 금곡리 3길 29
171,산삼가득 명술,리큐르 및 기타주류,국내산 주정/ 국내산 산양산삼 5년근,20%,375ml,"2012 대한민국우리술품평회 장려상 (리큐르 부문)

 2014 대한민국우리술품평회 장려상 (리큐르 부문)",산양산삼맛,산양산삼향,,,부드러움,,생선전과 잘 어울린다.,,
172,산애딸기 스위트,과실주,산딸기,11%,375ml,없음,쓴맛,과일향/발효향,적당한당도,높은산도,묵직함,,양념이 강한 음식과 잘 어울린다.,,
173,산정호수 동정춘막걸리,탁주, 쌀 36%/ 누룩3%/ 정제수61%,6%,720ml,2018 우리술품평회 탁주부문 대상,감칠맛,과일향,높은당도,낮은산도,묵직함/텁텁함/부드러움,,무화과 등의 달달한 디저트류 과일과 궁합이 좋습니다.,,
174,산천어막걸리,탁주,쌀,6%,750ml,"2012 대한민국우리술품평회 대상 (생막걸리 부문)

 2013 IWSC 은상",,과일향/사과향/바나나향,적당한당도,적당한산도,부드러움/청량감,,"메밀전병, 산천어회와 잘 어울린다.",,
175,삼막걸리,탁주,쌀(100%)/ 산양산삼/ 올리고당,6%,500ml,2011 대한민국우리술품평회 우수상 (생막걸리 부문),산양산삼맛,산양산삼향,,,청량감/깔끔함,적은숙취,생선전과 잘 어울린다.,,
176,삼양춘 생약주,"약주,청주",강화섬쌀/ 전통누룩/ 정제수,15%,500ml,없음,쓴맛/ 감칠맛,과일향,적당한당도,적당한산도,부드러움/깔끔함,,양념 되지 않은 흰살 생선 찜과 잘 어울린다.,,"인천광역시 남동구 호구포로 50, 8층 819-1호"
177,삼양춘 생탁주,탁주,강화섬쌀/ 전통누룩/ 정제수,13%,500ml,없음,쓴맛,,,적당한산도,묵직함,아이보리색,양념된 낙지나 주꾸미 볶음류와 매우 잘 어울린다.,,"인천광역시 남동구 호구포로 50, 8층 819-1호"
178,삼해소주,증류주,"멥쌀, 찹쌀, 누룩",45%,400ml,없음,고소한맛,곡향/ 누룩향,,,,적은숙취,아직 짝이 없어요!,,서울 종로구 창덕궁길 142
179,새송이 쌀막걸리 정,탁주,쌀/ 새송이버섯,6%,750ml,2012 대한민국우리술품평회 장려상 (살균막걸리 부문),상쾌한맛,,적당한당도,,청량감,,노릇하고 고소한 감자전과 잘 어울린다.,,
180,생탁주,탁주,쌀/ 올리고당/ 사과농축액/ 아스파탐/ 효모/ 정제수,6%,750ml,없음,,바나나향,,,부드러움,,닭도리탕이나 양념된 고기류와 잘 어울린다.,,전라남도 장성군 장섭읍 남양촌길 19
181,샤토미소 랑,과실주,청포도,12%, 375ml,"2018년 대한민국 주류대상 Best of Best상

2018년 아시아 와인트로피 골드메달 수상",청포도맛,청포도향,,높은산도,부드러움,,조개찜/다양한 해산물,,경기 평택시 오성면 숙성뜰길 108
182,샤토미소 레드 드라이,과실주,국내산 포도,12%, 750ml,없음,,과일향,낮은당도,적당한산도,,,스테이크/육류요리,,충청북도 영동군 매곡면 옥전리 825-1
183,샤토미소 레드 스위트,과실주,포도/ 산화방지제/ 효모/ 설탕 등,12%, 750ml,없음,떫은맛,포도향,높은당도,낮은산도,부드러움,,아직 짝이 없어요!,,충청북도 영동군 매곡면 옥전리 825-1
184,샤토미소 로제스위트와인,과실주, 국내산 포도원액,12%, 375ml,2013 대한민국우리술품평회 대상,상큼한맛,포도향/장미향,높은당도,높은산도,,,찜류,,충청북도 영동군 매곡면 옥전리 825-1
185,서울의 밤,증류주,"매실증류주원액, 벌꿀, 포도당, 노간주나무열매, 정제수",25%,375ml,없음,알코올맛,달콤한향,낮은당도,,,자극이적다, 삼겹살과 아주 잘 어울린다.,,충북 제천시 봉양읍 북부로 5길 16-10
186,서울의 밤 X 옥토끼프로젝트,증류주,"매실증류주원액, 벌꿀, 포도당, 노간주나무열매, 정제수",17%,375ml,없음,,달콤한향,낮은당도,,,,삼겹살과 아주 잘 어울린다.,,서울특별시 은평구 증산로7길 28-13
187,석로주,"약주,청주",국내산 쌀/ 석이버섯/ 누룩/ 효모/ 정제수,13%,720ml,없음,담백한맛/쓴맛,국화향/곡물향,낮은당도,낮은산도,,담백함,버섯 전골 등 전골류와 잘 어울린다.,,대전광역시 서구 둔산로 137번길 31
188,선호 생막걸리,탁주,쌀/ 누룩/ 효모/ 정제효소/ 천연감미료/ 정제수,6%,750ml,없음,쓴맛/산뜻한맛/깔끔한맛/칼칼한맛,,낮은당도,낮은산도,청량감,,"달콤하고 매운 음식과 잘 어울릴 수 있다. 닭도리탕, 감자탕 등도 추천 메뉴다.",,경기도 김포시 하성면 하성로 622
189,성읍민속마을 오메기술,"약주,청주",좁쌀/ 누룩,12%,375ml,시도무형문화재 제주도 제3호,감칠맛,,,낮은산도,,,제주산 갈치조림과 흑돼지주물럭의 매콤한 맛과 특히 잘 어울린다.,,
190,세우리,증류주,"산양삼, 하수오, 구기자, 쌀",45%,700ml,없음,약재맛/ 담백한맛,약재향/ 산양산삼향,,,부드러움/뜨거움,붉은색/호박색,삼계탕 등 몸 보양을 위해 먹는 음식과 다 잘 어울린다.,,경북 문경시 문경읍 새재로 609
191,세종 쌀막걸리,탁주,쌀,6%,300ml/750ml,2013 대한민국우리술품평회 장려상 (살균막걸리 부문),감칠맛,,높은당도,낮은산도,부드러움/청량감/묵직함,,해물찜이 매우 잘 어울린다.,,충북 청주시 청원구 사천로 18길 5-2
192,세종 알밤주,탁주,정제수/ 백미/ 소맥분/ 알밤/ 전분당/ 효모/ 젖산,6%,750ml,없음,밤맛,곡물향/밤향,높은당도,낮은산도,묵직함/깔끔함,,야채 샐러드와 잘 어울린다.,,충북 청주시 청원구 사천로 18길 5-2
193,세종대왕어주 약주,"약주,청주",쌀/ 누룩/ 정제수,15%,500ml,2019 대한민국우리술품평회 대상(약주 부문),감칠맛,쌀향,낮은당도,적당한산도,부드러움,,은은한 단맛은 한식과 궁합이 좋으며 두루 잘 어울립니다.,,충청북도 청원군 내수읍 초정리 257-2
194,세종청주생막걸리,탁주,쌀/ 소맥분,6%,750ml,없음,진한맛,,낮은당도,적당한산도,가벼움,,김치전과 잘 어울린다.,,충북 청주시 청원구 사천로 18길 5-2
195,소나무와 학,증류주,"국내산 쌀, 황기",43%,700ml,"2011 대한민국우리술품평회 우수상 (일반증류주 부문)

 2012 대한민국우리술품평회 우수상 (일반증류주 부문)",깔끔한맛,약초향,적당한당도,,부드러움,,깐풍기와 잘 어울린다.,,충청북도 제천시 송학면 송한리 477-3번지
196,소백산 검은콩 막걸리,탁주,쌀,6%,"1500ml, 1200ml, 750ml",없음,,곡물향,높은당도,낮은산도,,아이보리색,아직 짝이 없어요!,,충북 단양군 대강면 대강로 60
197,소백산 생 막걸리,탁주,쌀,6%,"1700ml, 750ml",없음,담백한맛/구수한맛,발효향,적당한당도,적당한산도,깔끔함,,버섯전골,,충북 단양군 대강면 대강로 60
198,소백산 스위트와인,과실주,포도,12%,750ml,2019년 대한민국 주류대상,포도맛,달콤한향,높은당도,,부드러움,,삼겹살/보쌈/김치전/아구찜/매콤한 볶음요리,,경북 영주시 단산면 영단로601번길 64
199,소호,증류주,"평택 쌀(발아 현미, 백미), 누룩, 정제수, 대나무잎","36.5%, 56%","350mL, 750mL",없음,쌀맛,배향/쌀향,,,부드러움,,아직 짝이 없어요!,,경기도 평택시 포승읍 충열길 37
200,솔바람생막걸리,탁주,쌀,6%,500ml,2010 대한민국우리술품평회 최우수상 (생막걸리 부문),감칠맛,솔향,적당한당도,적당한산도,청량감,,막걸리의 청량감이 고소한 감자전의 맛을 더욱 돋궈준다.,,
201,솔송주,"약주,청주",백미 90%/ 솔잎·송순 10%,13%,375ml,시도무형문화재 대구광역시 제11호,감칠맛,솔향,,,,,돼지갈비구이의 누린내를 없애주어 잘 어울린다.,,경상남도 함양군 지곡면 지곡창촌길 3
202,솔청정막걸리,탁주,쌀,6%,750ml,2011 대한민국우리술품평회 대상 (살균막걸리 부문),감칠맛,솔향,,,청량감/부드러움,,채소를 듬뿍 넣은 영양만점의 두부전이 솔 향 은은한 막걸리로 더욱 고소해진다.,,
203,송로주,증류주,"멥쌀, 솔옹이, 솔잎, 복령",48%,700ml,시도무형문화재 충청북도 제3호,알싸한맛,솔향,,,부드러움,,표고버섯나물과 잘 어울린다.,,충청북도 보은군 속리산면 구병리 518번지
204,송명섭 막걸리,탁주,쌀/ 곡자/ 정제수,6%,"500ml,750ml",없음,개운한맛,,낮은당도,높은산도,텁텁함/부드러움,,"산적, 잡채 등 담백한 음식 또는 맵고 짠 한식이나 기름진 고기류와의 음식 궁합이 좋다.",,전북 정읍시 태인면 태흥리 392-1
205,송이주,"약주,청주",국내산 쌀/ 송이농충액/ 누룩/ 정제수,13%,375ml,없음,버섯맛/후추맛,버섯향/ 청량한향/ 레몬향,,적당한산도,가벼움,황녹색빛,소 등심 구이랑 잘 어울린다.,,충남 논산시 연무읍 마종로 361
206,송화백일주,리큐르 및 기타주류,송화/ 솔잎/ 산수유/ 오미자/ 구기자,38%,700ml,"전통식품명인 제1호 조영귀

 시도무형문화재 전라북도 제 6-4호",솔향/ 깔끔한맛,,,,부드러움,,취나물과 잘 어울린다.,,
207,수삼단본720,증류주,"국내산 쌀, 국내산 인삼",43%,720ml,2014 대한민국우리술품평회 대상 (일반증류주 부문),은은한맛/깔끔한맛,인삼향,,,부드러움/청량감,투명한빛,생선회와 잘 어울린다.,,충남 금산군 금성면 파초길 23
208,술그리다 생탁주,탁주,쌀/ 누룩,10%,500ml,없음,깊은맛/깔끔한맛,깊은향/발효향,,적당한산도,부드러움/깔끔함,,양념이 되지 않은 백숙 등과 잘 어울린다. 또는 전류와도 잘 어울린다.,,경기 평택시 오성면 숙성뜰길 108
209,술샘16,리큐르 및 기타주류,쌀/ 오미자/ 주정/ 정백당,16%,375ml,없음,오미자맛,오미자향,,,,,"파티음식, 샐러드, 육류 및 치즈, 해산물과 잘 어울린다.",,경기도 용인시 처인구 양지면 죽양대로 2298-1
210,술샘19,리큐르 및 기타주류,주정/ 증류식소주/ 정백당/ 생강/ 강황,19%,375ml,없음,은은한맛/ 강황맛,은은한향/ 강황향,,,,레몬빛,아직 짝이 없어요!,,경기도 용인시 처인구 양지면 죽양대로 2298-1
