No,이름,종류,원재료,알콜도수,용량,수상내역,맛,향,당도,산도,목넘김,기타,어울리는 음식,키워드,주소
302,천비향 오양주 약주,"약주,청주",국내산 쌀/ 누룩,16%,500ml,"2018 대한민국 우리술 품평회' 약·청주 부문 대상 

  2016년 청와대 만찬주 선정",단맛/신맛,곡물향/아카시아향,적당한당도,적당한산도,부드러움/ 묵직함,황금빛,숯에 구운 소고기와 함께 마시면 좋다.,,경기 평택시 오성면 숙성뜰길 108
303,천비향 오양주 탁주,탁주,쌀/ 누룩,14%,500ml,없음,쓴맛,발효향/ 곡물향,적당한당도,적당한산도,부드러움/청량감,아이보리색,파스타 등 맛이 강하지 않은 면 요리와 잘 어울린다. 전류와 같은 한식과 매우 잘 어울린다.,,경기 평택시 오성면 숙성뜰길 108
304,천비향 화주,증류주,"국내산 쌀, 누룩",40%,375ml,없음,감칠맛/ 깔끔한맛/쌀맛,곡물향/ 훈연된향,,,부드러움,,오리 주물럭과 잘 어울린다.,,경기 평택시 오성면 숙성뜰길 108
305,천안연미주,"약주,청주",국내산 쌀,13%,375ml,"2011 대한민국우리술품평회 최우수상 (약주/청주 부문)

 2012 대한민국우리술품평회 장려상 (약주/청주 부문)

 2014 대한민국우리술품평회 우수상 (약주/청주 부문)",쓴맛,곡물향/ 인삼향,낮은당도,적당한산도,부드러움/ 청량감/ 깔끔함,,야채샐러드와 잘 어울린다.,,
306,천지향 증류주,증류주,국내산 복분자,40%,500ml,2012 대한민국우리술품평회 최우수상 (일반증류주 부문),,복분자향,,,부드러움,,삼겹살구이와 잘 어울린다.,,전라남도 함평군 신광면 신광중앙길 146-54
307,청명주,"약주,청주",국내산찹쌀 95%/ 누룩 5%,17%,500ml,"전통식품명인 제11호 임영순 시도무형문화재 충청남도 제30호

 2010 대한민국우리술품평회 우수상(약주/청주 부문)",감칠맛,과일향/찹쌀향,높은당도,높은산도,묵직함,감색,"흰살 생선인 대구, 동태, 민어, 숭어 등을 노릇하게 지져낸 담백한 생선전이 담백한 맛의 청명주와 어울리면 맛이 그만이다.",,충북 충주시 가금면 창동리 243
308,청명주 750,"약주,청주",찹쌀/누룩/소맥분,17%,750ml,없음,감칠맛/ 새콤한맛,과일향,적당한당도,적당한산도,묵직함,,"쏘가리, 메기, 잡어 등 진득한 국물의 민물고기 매운탕이 잘 어울린다. 수육 및 보쌈 등 비교적 담백한 고기류하고의 매칭도 좋다.",,충북 충주시 가금면 창동리 243
309,청세주,"약주,청주",국내산 쌀,18%,375ml,2013 대한민국우리술품평회 우수상 (약주/청주 부문),깔끔한맛,한약 특유의향,,,,,"제육볶음, 닭갈비구이와 잘 어울린다.",,
310,청양둔송구기주,"약주,청주",쌀/ 누룩/ 구기자/ 감초/ 두충껍질,16%,700ml,"전통식품명인 제11호 임영순 시도무형문화재 충청남도 제30호

 2010 대한민국우리술품평회 우수상(약주/청주 부문)",감칠맛/캬라멜맛,구기자향,적당한당도,낮은산도,묵직함,담황색,"양념된 고기류, 도라지나물이 잘 어울린다.",,충청남도 청양군 운곡면 광암리 819-1
311,청진주,"약주,청주",찹쌀/ 누룩/ 정제수,16%,375ml,없음,쓴맛,과일향/ 곡물향/ 버섯향,낮은당도,낮은산도,,황금빛,새우 소금구이와 잘 어울린다.,,경기도 가평군 가평읍 분자골로68번길 82
312,초선의 꿈,과실주,국내산 포도,12%, 375ml,없음,사과맛,장미향,높은당도,,부드러움/묵직함,,견과류,,충북 영동군 양강면 유점지촌길 75(여포와인농장)
313,추사 로제,과실주, 사과,12%, 375ml,없음,,과일향,적당한당도,,,,디저트류,,충남 예산군 고덕면 대몽로 107-25
314,추사 블루베리 와인,과실주,예산블루베리 60%/ 설탕/ 구연산/ 무수아황산/ 소르빈산칼륨,11%, 375ml,없음,,과일향,적당한당도,적당한산도,부드러운 목넘김,,블루베리 파이/사과 파이,,충남 예산군 고덕면 대몽로 107-25
315,추사 애플와인,과실주, 사과,12%, 375ml,없음,,과일향,적당한당도,적당한산도,부드러움,,닭백숙,,충남 예산군 고덕면 대몽로 107-25
316,추사40,증류주,사과,40%,500ml,없음,사과맛/ 깨끗한맛,바닐라향/ 초콜릿향/ 약재향,,,뜨거움,호박색,생굴과 잘 어울린다.,,충남 예산군 고덕면 대몽로 107-25
317,추사애플와인,과실주, 국내산 사과(예산),12%, 375ml,"2014 Monde-selection 동상

2014 SIWC 동상

2013 대한민국우리술품평회 최우수상

2012 대한민국우리술품평회 대상

2011 대한민국우리술품평회 장려상",,알코올향,높은당도,,,,기름이 적은 고기류,,
318,추성주,증류주,"국내산 쌀, 국내산 한약재",25%,350ml,전통식품명인 제22호 양대수,쌉쌀한맛/매운맛,약재향/달콤한향,적당한당도,적당한산도,부드러움,,"갈치조림, 죽순회무침와 잘 어울린다.",,전남 담양군 용면 추령로 29
319,쿨샷7.5,과실주, 복분자과실/ 주정/ 효모/ 구연산/ 정제수,7.50%, 300ml,없음,,복분자향,낮은당도,,,,디저트류,,전북 고창군 심원면 심원로 270-73
320,타미앙스,증류주,"국내산 쌀, 국내산 한약재",40%,500ml,"전통식품명인 제22호 양대수

 2013 대한민국우리술품평회 대상 (일반증류주 부문)

 2014 SWSC 금상2014 Monde-selection 금상",알싸한맛/한약재맛,한약재향/누룩향,,,부드러움,황금빛,"떡갈비, 양곱창구이와 잘 어울린다.",,전라남도 담양군 용면 추령로 29번지 (추성리662-5)
321,톡 한잔 소주,증류주,"국내산 보리, 쌀",30%,500ml,2014 대한민국우리술품평회 우수상 (증류식소주 부문),쓴맛/감칠맛/깔끔한맛,보리향,낮은당도,,부드러움,,"육류, 장어구이와 잘 어울린다.",,전남 영광군 대마면 동삼로 699
322,톡쏘는 고구마동동,탁주,쌀/ 정제수/ 입국/ 고구마 농축액/ 고구마 추출물 등,6%,750ml,없음,고구마맛/고소한맛,고구마향,높은당도,,청량감/부드러움,,"파전, 김치전 등 한식과 두루 잘 어울린다.",,"경기 가평군 하면 대보간선로 26, 29"
323,톡쏘는 막걸리,탁주,쌀,6%,750ml,"2010 소믈리에 햅쌀막걸리 품평회 1위선정

 2011 대한민국우리술품평회 우수상 (살균막걸리 부문)

 2011 농식품부 수출전진대회 건배주",감칠맛,,적당한당도,적당한산도,청량감,적은숙취,새우전과 녹두전 등 고소하지만 기름진 전류와 어울린다.,,"경기 가평군 하면 대보간선로 26, 29"
324,톡쏘는 알밤동동,탁주,쌀/ 정제수/ 입국/ 밤 농축액/ 밤 추출물 등,6%,750ml,없음,밤맛,,높은당도,낮은산도,청량감/부드러움,,특별한 안주 없이 술만 마셔도 맛있게 먹을 수 있는 술이다.,,"경기 가평군 하면 대보간선로 26, 29"
325,톡쏘는 옥수수동동,탁주,쌀/ 정제수/ 입국/ 옥수수 농축액/ 옥수수 추출물 등,6%,750ml,없음,,,높은당도,,부드러움,,한식과 두루 잘 어울린다.,,"경기 가평군 하면 대보간선로 26, 29"
326,티나(TINA),리큐르/기타주류,딸기(국내산),16%,750ml,2019 우리술품평회 기타주류 부문 우수상,죽력맛/딸기맛,상큼한향/딸기향,적당한당도,,,,아직 짝이 없어요!,, 전남 담양
327,편백숲 산소막걸리,탁주,쌀/ 사과농축액/누룩/올리고당/아스파탐,5%,750ml,없음,,바나나향/메론향,높은당도,낮은산도,부드러움,,"홍어삼합이나 보쌈, 부침이나 전류와도 잘 어울린다.",,전라남도 장성군 장섭읍 남양촌길 19
328,편백숲 산소막걸리 딸기 스파클링,탁주,찹쌀/ 멥쌀/ 누룩/ 딸기/ 올리고당,7%,940ml,없음,딸기맛/싱그러운맛,딸기향,높은당도,높은산도,가벼움/깔끔함,,"홍어삼합이나 보쌈, 부침이나 전류와도 잘 어울린다.",,전라남도 장성군 장섭읍 남양촌길 19
329,편백숲 산소막걸리 순수령,탁주,찹쌀/ 멥쌀/누룩,6%,750ml,없음,,과일향,적당한당도,낮은산도,부드러움,,"홍어삼합이나 보쌈, 부침이나 전류와도 잘 어울린다.",,전라남도 장성군 장섭읍 남양촌길 19
330,편백숲 산소막걸리 순수령 8%,탁주,찹쌀/ 멥살/ 누룩,8%,750ml,없음,시원한맛,과일향,적당한당도,낮은산도,묵직함,,"홍어삼합이나 보쌈, 부침이나 전류와도 잘 어울린다.",,전라남도 장성군 장섭읍 남양촌길 19
331,편백숲 산소막걸리 스파클링,탁주,찹쌀/ 멥쌀/누룩,7%,940ml,없음,고소한맛,과일향,높은당도,,청량감,,"홍어삼합이나 보쌈, 부침이나 전류와도 잘 어울린다.",,전라남도 장성군 장섭읍 남양촌길 19
332,포항불로주,증류주,국내산 쌀,"35%, 45%",35% ? 750ml / 45% ? 800ml,2010 대한민국우리술품평회 우수상 (증류식소주 부문),,,,,부드러움,투명함/적은숙취,소고기 육회와 잘 어울린다.,,경상북도 포항시 북구 청하면 소동리 720-2
333,풍정사계 춘,"약주,청주",국내산 찹쌀/ 향온곡,15%,500ml,"2017 대한민국 우리술품평회 약주·청주 부문 대상

 2016 우리술품평회 약주·청주 부문 최우수상",깔끔한맛,깔끔한향,낮은당도,적당한산도,깔끔함,,아직 짝이 없어요!,,경북 청도군 화양읍 화양로 51-2
334,프리미엄 애플와인 한스오차드,과실주, 국내산 사과,11%, 750ml,없음,,사과향,높은당도,,,,치즈류,,경북 의성군 단촌면 일직점곡로 755
335,필,증류주,고구마증류원액(여주산 100%),25%,375ml,없음,신선한맛,신선한향/ 고구마향,,,부드러움,,아직 짝이 없어요!,,"경기도 여주시 대신면 대신1로 120, 나호"
336,하얀연꽃 백련막걸리,탁주,쌀,7%,375ml,"2012 대한민국우리술품평회 대상 (살균막걸리 부문)

 2013 IWSC 동상

 2013 NYWSC 동상",깔끔한맛,,적당한당도,낮은산도,부드러움,,스테이크와 잘 어울린다.,,충남 당진시 신평면 신평로 813
337,하얀연꽃 백련맑은 술,"약주,청주",국내산 쌀/ 백련잎,12%,375ml / 750ml,2013 대한민국우리술품평회 장려상 (약주/청주 부문),고소한맛,수박향,낮은당도,낮은산도,묵직함,,훈제오리야채볶음이 잘 어울린다.,,
338,하얀연꽃 백련생막걸리,탁주, 백미/  백련잎,7%,375ml/750ml,없음,깊은맛/깔끔한맛,,적당한당도,적당한산도,깔끔함,,스테이크와 잘 어울린다.,,충남 당진시 신평면 신평로 813
339,하향주,"약주,청주",찹쌀,17%,750ml,시도무형문화재 대구광역시 제11호,,연꽃향,,,부드러움,,부드러운 나물안주와 잘 어울린다,,
340,한비 동충하초술,리큐르 및 기타주류,국내산 쌀/ 누룩/ 가시오가피 뿌리/ 동충하초/ 정제수,35%,"375ml, 705ml",없음,,산뜻한향/ 훈연나무향,적당한당도,,부드러움,옅은 호박색,삼계탕과 잘 어울린다.,,충북 제천시 봉양읍 북부로 5길 16-10
